ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	module
GO:0034470	ncRNA processing	167/3032	271/10468	0.616236162361624	2.12755941543584	12.0086418259946	0.0000000000000000000000000000116207102914504	0.0000000000000000000000000347459237714366	0.0000000000000000000000000319753017914224	LOC_00000065/LOC_00000183/LOC_00000223/LOC_00000454/LOC_00000577/LOC_00000655/LOC_00000915/LOC_00000978/LOC_00002368/LOC_00002409/LOC_00002466/LOC_00002495/LOC_00002564/LOC_00002791/LOC_00003315/LOC_00003465/LOC_00003493/LOC_00003672/LOC_00003844/LOC_00004010/LOC_00004163/LOC_00004185/LOC_00004620/LOC_00004723/LOC_00004821/LOC_00004862/LOC_00004908/LOC_00004987/LOC_00005020/LOC_00005051/LOC_00005139/LOC_00005243/LOC_00005246/LOC_00005258/LOC_00005639/LOC_00005836/LOC_00005912/LOC_00006075/LOC_00006350/LOC_00006452/LOC_00006540/LOC_00006580/LOC_00006690/LOC_00006746/LOC_00007212/LOC_00007425/LOC_00007747/LOC_00008297/LOC_00008305/LOC_00008498/LOC_00008535/LOC_00008537/LOC_00008604/LOC_00009226/LOC_00009310/LOC_00009431/LOC_00009452/LOC_00009640/LOC_00010006/LOC_00010011/LOC_00010035/LOC_00010036/LOC_00010175/LOC_00010365/LOC_00010372/LOC_00010472/LOC_00010507/LOC_00010544/LOC_00010575/LOC_00010605/LOC_00010632/LOC_00010679/LOC_00010991/LOC_00011254/LOC_00011284/LOC_00011373/LOC_00011419/LOC_00011555/LOC_00011573/LOC_00011677/LOC_00011761/LOC_00011961/LOC_00012094/LOC_00012203/LOC_00012238/LOC_00012309/LOC_00012355/LOC_00012534/LOC_00012974/LOC_00013000/LOC_00013153/LOC_00013379/LOC_00013493/LOC_00013552/LOC_00013594/LOC_00013750/LOC_00013904/LOC_00014179/LOC_00014185/LOC_00014204/LOC_00014248/LOC_00014260/LOC_00014326/LOC_00014329/LOC_00015205/LOC_00015446/LOC_00015447/LOC_00015457/LOC_00015624/LOC_00015643/LOC_00015842/LOC_00015899/LOC_00016016/LOC_00016167/LOC_00016198/LOC_00016287/LOC_00016761/LOC_00016871/LOC_00017139/LOC_00017301/LOC_00017463/LOC_00017480/LOC_00017528/LOC_00017848/LOC_00017940/LOC_00017997/LOC_00018215/LOC_00018590/LOC_00018626/LOC_00018958/LOC_00018979/LOC_00019117/LOC_00019359/LOC_00019769/LOC_00020206/LOC_00020277/LOC_00020677/LOC_00020952/LOC_00021233/LOC_00021385/LOC_00021492/LOC_00021687/LOC_00022705/LOC_00022723/LOC_00023013/LOC_00023554/LOC_00023676/LOC_00024116/LOC_00024269/LOC_00024431/LOC_00024506/LOC_00024552/LOC_00024568/LOC_00024597/LOC_00024685/LOC_00024691/LOC_00024938/LOC_00025234/LOC_00025290/LOC_00025413/LOC_00025534/LOC_00025612/LOC_00025685/LOC_00025815/LOC_00025939/LOC_00025973/LOC_00026025	167	turquoise
GO:0034660	ncRNA metabolic process	190/3032	337/10468	0.56379821958457	1.94651707210134	11.2777708079059	0.0000000000000000000000000121771396816944	0.0000000000000000000000182048238241332	0.0000000000000000000000167531805936575	LOC_00000065/LOC_00000183/LOC_00000223/LOC_00000454/LOC_00000577/LOC_00000655/LOC_00000915/LOC_00000978/LOC_00002368/LOC_00002409/LOC_00002466/LOC_00002495/LOC_00002564/LOC_00002791/LOC_00002881/LOC_00003315/LOC_00003465/LOC_00003493/LOC_00003672/LOC_00003844/LOC_00004010/LOC_00004163/LOC_00004185/LOC_00004620/LOC_00004723/LOC_00004798/LOC_00004821/LOC_00004862/LOC_00004908/LOC_00004987/LOC_00005020/LOC_00005051/LOC_00005139/LOC_00005243/LOC_00005246/LOC_00005258/LOC_00005302/LOC_00005639/LOC_00005836/LOC_00005912/LOC_00006075/LOC_00006350/LOC_00006363/LOC_00006452/LOC_00006540/LOC_00006580/LOC_00006690/LOC_00006746/LOC_00007212/LOC_00007425/LOC_00007747/LOC_00008297/LOC_00008305/LOC_00008399/LOC_00008498/LOC_00008535/LOC_00008537/LOC_00008604/LOC_00009008/LOC_00009226/LOC_00009310/LOC_00009431/LOC_00009434/LOC_00009452/LOC_00009640/LOC_00010006/LOC_00010011/LOC_00010035/LOC_00010036/LOC_00010175/LOC_00010365/LOC_00010372/LOC_00010472/LOC_00010507/LOC_00010544/LOC_00010575/LOC_00010605/LOC_00010632/LOC_00010658/LOC_00010679/LOC_00010991/LOC_00011254/LOC_00011262/LOC_00011284/LOC_00011373/LOC_00011419/LOC_00011555/LOC_00011573/LOC_00011677/LOC_00011761/LOC_00011961/LOC_00012094/LOC_00012203/LOC_00012238/LOC_00012309/LOC_00012355/LOC_00012534/LOC_00012974/LOC_00013000/LOC_00013153/LOC_00013379/LOC_00013493/LOC_00013552/LOC_00013594/LOC_00013750/LOC_00013828/LOC_00013873/LOC_00013904/LOC_00014016/LOC_00014179/LOC_00014185/LOC_00014204/LOC_00014248/LOC_00014260/LOC_00014326/LOC_00014329/LOC_00015205/LOC_00015347/LOC_00015446/LOC_00015447/LOC_00015457/LOC_00015624/LOC_00015643/LOC_00015842/LOC_00015899/LOC_00016016/LOC_00016167/LOC_00016198/LOC_00016287/LOC_00016761/LOC_00016859/LOC_00016871/LOC_00017139/LOC_00017301/LOC_00017463/LOC_00017480/LOC_00017528/LOC_00017848/LOC_00017940/LOC_00017997/LOC_00018215/LOC_00018590/LOC_00018626/LOC_00018888/LOC_00018958/LOC_00018979/LOC_00019117/LOC_00019359/LOC_00019769/LOC_00019880/LOC_00020206/LOC_00020277/LOC_00020615/LOC_00020677/LOC_00020952/LOC_00020962/LOC_00021039/LOC_00021233/LOC_00021385/LOC_00021492/LOC_00021687/LOC_00022705/LOC_00022723/LOC_00023013/LOC_00023371/LOC_00023554/LOC_00023676/LOC_00023889/LOC_00023892/LOC_00024116/LOC_00024269/LOC_00024390/LOC_00024431/LOC_00024506/LOC_00024552/LOC_00024568/LOC_00024597/LOC_00024685/LOC_00024691/LOC_00024938/LOC_00025234/LOC_00025290/LOC_00025413/LOC_00025534/LOC_00025612/LOC_00025685/LOC_00025815/LOC_00025939/LOC_00025973/LOC_00026025	190	turquoise
GO:0022613	Ribonucleoprotein complex biogenesis	159/3032	278/10468	0.571942446043166	1.97463506767146	10.5167938106738	0.0000000000000000000000248562021319853	0.0000000000000000000247733481248787	0.0000000000000000000227979341659682	LOC_00000065/LOC_00000183/LOC_00000454/LOC_00000577/LOC_00000655/LOC_00000915/LOC_00002365/LOC_00002368/LOC_00002409/LOC_00002466/LOC_00002495/LOC_00002564/LOC_00002791/LOC_00003315/LOC_00003465/LOC_00003493/LOC_00003786/LOC_00004163/LOC_00004185/LOC_00004723/LOC_00004908/LOC_00004909/LOC_00004961/LOC_00004987/LOC_00005020/LOC_00005051/LOC_00005139/LOC_00005258/LOC_00005422/LOC_00005431/LOC_00005646/LOC_00005729/LOC_00005836/LOC_00005912/LOC_00006011/LOC_00006350/LOC_00006352/LOC_00006482/LOC_00006565/LOC_00006580/LOC_00006652/LOC_00006690/LOC_00006746/LOC_00006880/LOC_00007213/LOC_00007246/LOC_00007408/LOC_00008153/LOC_00008297/LOC_00008498/LOC_00008564/LOC_00009099/LOC_00009226/LOC_00009264/LOC_00009431/LOC_00009452/LOC_00009640/LOC_00010006/LOC_00010011/LOC_00010035/LOC_00010036/LOC_00010140/LOC_00010157/LOC_00010175/LOC_00010262/LOC_00010299/LOC_00010365/LOC_00010507/LOC_00010544/LOC_00010605/LOC_00010669/LOC_00010679/LOC_00010980/LOC_00010991/LOC_00011254/LOC_00011373/LOC_00011419/LOC_00011555/LOC_00011573/LOC_00011943/LOC_00012094/LOC_00012309/LOC_00012534/LOC_00012687/LOC_00012974/LOC_00013000/LOC_00013153/LOC_00013379/LOC_00013594/LOC_00013639/LOC_00013904/LOC_00014014/LOC_00014179/LOC_00014204/LOC_00014260/LOC_00014302/LOC_00014326/LOC_00014445/LOC_00015446/LOC_00015447/LOC_00015457/LOC_00015528/LOC_00015614/LOC_00015624/LOC_00015767/LOC_00015842/LOC_00015843/LOC_00015851/LOC_00015882/LOC_00015899/LOC_00016003/LOC_00016584/LOC_00016761/LOC_00017139/LOC_00017179/LOC_00017301/LOC_00017652/LOC_00017848/LOC_00018212/LOC_00018762/LOC_00018834/LOC_00018958/LOC_00018979/LOC_00019051/LOC_00019117/LOC_00019359/LOC_00019769/LOC_00020216/LOC_00020277/LOC_00020513/LOC_00020677/LOC_00021167/LOC_00021233/LOC_00021319/LOC_00021385/LOC_00021687/LOC_00022512/LOC_00022705/LOC_00022723/LOC_00022994/LOC_00023013/LOC_00023554/LOC_00023611/LOC_00023647/LOC_00023676/LOC_00023876/LOC_00023954/LOC_00024104/LOC_00024116/LOC_00024552/LOC_00024568/LOC_00024763/LOC_00024938/LOC_00025014/LOC_00025413/LOC_00025612/LOC_00025773/LOC_00025815/LOC_00025973	159	turquoise
GO:0042254	Ribosome biogenesis	128/3032	208/10468	0.615384615384615	2.12461944388066	10.4609131148301	0.0000000000000000000000679470575273545	0.0000000000000000000507904255016975	0.0000000000000000000467404232569749	LOC_00000065/LOC_00000183/LOC_00000454/LOC_00000577/LOC_00000655/LOC_00000915/LOC_00002365/LOC_00002368/LOC_00002409/LOC_00002466/LOC_00002495/LOC_00002564/LOC_00002791/LOC_00003315/LOC_00003465/LOC_00003493/LOC_00003786/LOC_00004163/LOC_00004185/LOC_00004723/LOC_00004908/LOC_00004987/LOC_00005020/LOC_00005051/LOC_00005139/LOC_00005258/LOC_00005431/LOC_00005729/LOC_00005836/LOC_00005912/LOC_00006350/LOC_00006352/LOC_00006565/LOC_00006580/LOC_00006652/LOC_00006690/LOC_00006746/LOC_00006880/LOC_00007246/LOC_00007408/LOC_00008297/LOC_00008498/LOC_00008564/LOC_00009226/LOC_00009264/LOC_00009431/LOC_00009452/LOC_00009640/LOC_00010006/LOC_00010011/LOC_00010035/LOC_00010036/LOC_00010157/LOC_00010175/LOC_00010262/LOC_00010365/LOC_00010507/LOC_00010544/LOC_00010605/LOC_00010669/LOC_00010679/LOC_00010980/LOC_00010991/LOC_00011254/LOC_00011373/LOC_00011419/LOC_00011555/LOC_00011573/LOC_00011943/LOC_00012094/LOC_00012309/LOC_00012534/LOC_00012687/LOC_00012974/LOC_00013000/LOC_00013153/LOC_00013379/LOC_00013594/LOC_00013904/LOC_00014014/LOC_00014179/LOC_00014204/LOC_00014260/LOC_00014326/LOC_00014445/LOC_00015446/LOC_00015447/LOC_00015457/LOC_00015528/LOC_00015624/LOC_00015767/LOC_00015842/LOC_00015851/LOC_00015899/LOC_00016584/LOC_00016761/LOC_00017139/LOC_00017301/LOC_00017848/LOC_00018212/LOC_00018958/LOC_00018979/LOC_00019117/LOC_00019359/LOC_00019769/LOC_00020216/LOC_00020277/LOC_00020677/LOC_00021167/LOC_00021233/LOC_00021319/LOC_00021385/LOC_00021687/LOC_00022705/LOC_00022723/LOC_00023013/LOC_00023554/LOC_00023676/LOC_00024116/LOC_00024552/LOC_00024568/LOC_00024763/LOC_00024938/LOC_00025014/LOC_00025413/LOC_00025612/LOC_00025815/LOC_00025973	128	turquoise
GO:0006364	rRNA processing	98/3032	150/10468	0.653333333333333	2.25563764291997	9.89049925941392	0.0000000000000000000164516737841687	0.00000000000000000983810092293287	0.0000000000000000090536158466983	LOC_00000065/LOC_00000183/LOC_00000454/LOC_00000577/LOC_00000655/LOC_00000915/LOC_00002368/LOC_00002409/LOC_00002466/LOC_00002495/LOC_00002564/LOC_00002791/LOC_00003315/LOC_00003465/LOC_00003493/LOC_00004163/LOC_00004185/LOC_00004723/LOC_00004908/LOC_00004987/LOC_00005020/LOC_00005051/LOC_00005139/LOC_00005258/LOC_00005836/LOC_00005912/LOC_00006350/LOC_00006580/LOC_00006690/LOC_00006746/LOC_00008297/LOC_00008498/LOC_00009226/LOC_00009431/LOC_00009452/LOC_00009640/LOC_00010006/LOC_00010011/LOC_00010035/LOC_00010036/LOC_00010175/LOC_00010365/LOC_00010507/LOC_00010544/LOC_00010605/LOC_00010679/LOC_00010991/LOC_00011254/LOC_00011373/LOC_00011419/LOC_00011555/LOC_00011573/LOC_00012094/LOC_00012309/LOC_00012534/LOC_00012974/LOC_00013000/LOC_00013153/LOC_00013379/LOC_00013594/LOC_00013904/LOC_00014179/LOC_00014204/LOC_00014260/LOC_00014326/LOC_00015446/LOC_00015447/LOC_00015457/LOC_00015624/LOC_00015842/LOC_00015899/LOC_00016761/LOC_00017139/LOC_00017301/LOC_00017848/LOC_00018958/LOC_00018979/LOC_00019117/LOC_00019359/LOC_00019769/LOC_00020277/LOC_00020677/LOC_00021233/LOC_00021385/LOC_00021687/LOC_00022705/LOC_00022723/LOC_00023013/LOC_00023554/LOC_00023676/LOC_00024116/LOC_00024552/LOC_00024568/LOC_00024938/LOC_00025413/LOC_00025612/LOC_00025815/LOC_00025973	98	turquoise
GO:0016072	rRNA metabolic process	101/3032	157/10468	0.643312101910828	2.22103927533066	9.84317227659949	0.0000000000000000000233880766210803	0.0000000000000000116550581828383	0.0000000000000000107256898750007	LOC_00000065/LOC_00000183/LOC_00000454/LOC_00000577/LOC_00000655/LOC_00000915/LOC_00002368/LOC_00002409/LOC_00002466/LOC_00002495/LOC_00002564/LOC_00002791/LOC_00003315/LOC_00003465/LOC_00003493/LOC_00004163/LOC_00004185/LOC_00004723/LOC_00004908/LOC_00004987/LOC_00005020/LOC_00005051/LOC_00005139/LOC_00005258/LOC_00005836/LOC_00005912/LOC_00006350/LOC_00006580/LOC_00006690/LOC_00006746/LOC_00008297/LOC_00008498/LOC_00009226/LOC_00009431/LOC_00009452/LOC_00009640/LOC_00010006/LOC_00010011/LOC_00010035/LOC_00010036/LOC_00010175/LOC_00010365/LOC_00010507/LOC_00010544/LOC_00010605/LOC_00010679/LOC_00010991/LOC_00011254/LOC_00011262/LOC_00011373/LOC_00011419/LOC_00011555/LOC_00011573/LOC_00012094/LOC_00012309/LOC_00012534/LOC_00012974/LOC_00013000/LOC_00013153/LOC_00013379/LOC_00013594/LOC_00013904/LOC_00014179/LOC_00014204/LOC_00014260/LOC_00014326/LOC_00015347/LOC_00015446/LOC_00015447/LOC_00015457/LOC_00015624/LOC_00015842/LOC_00015899/LOC_00016761/LOC_00017139/LOC_00017301/LOC_00017848/LOC_00018958/LOC_00018979/LOC_00019117/LOC_00019359/LOC_00019769/LOC_00020277/LOC_00020677/LOC_00021233/LOC_00021385/LOC_00021687/LOC_00022705/LOC_00022723/LOC_00023013/LOC_00023554/LOC_00023676/LOC_00024116/LOC_00024390/LOC_00024552/LOC_00024568/LOC_00024938/LOC_00025413/LOC_00025612/LOC_00025815/LOC_00025973	101	turquoise
GO:0009451	RNA modification	68/3032	109/10468	0.623853211009174	2.1538573261359	7.73236709989054	0.000000000000349025121047159	0.000000000149083587418715	0.000000000137195739310868	LOC_00000655/LOC_00000978/LOC_00003844/LOC_00004010/LOC_00004821/LOC_00004862/LOC_00005051/LOC_00005639/LOC_00006075/LOC_00006452/LOC_00006540/LOC_00007212/LOC_00007425/LOC_00007747/LOC_00008535/LOC_00008537/LOC_00008604/LOC_00010372/LOC_00010472/LOC_00010575/LOC_00010605/LOC_00010991/LOC_00011246/LOC_00011284/LOC_00011555/LOC_00011761/LOC_00012203/LOC_00012238/LOC_00012355/LOC_00013750/LOC_00013847/LOC_00013904/LOC_00014185/LOC_00014715/LOC_00015643/LOC_00015842/LOC_00016016/LOC_00016167/LOC_00016287/LOC_00016761/LOC_00016871/LOC_00017301/LOC_00017463/LOC_00017480/LOC_00017528/LOC_00017578/LOC_00017940/LOC_00017997/LOC_00018590/LOC_00018626/LOC_00019359/LOC_00020206/LOC_00020277/LOC_00020952/LOC_00021492/LOC_00022705/LOC_00023192/LOC_00023676/LOC_00024269/LOC_00024431/LOC_00024506/LOC_00024597/LOC_00024691/LOC_00025234/LOC_00025290/LOC_00025685/LOC_00025939/LOC_00026025	68	turquoise
GO:0006400	tRNA modification	48/3032	67/10468	0.716417910447761	2.47343756153271	7.72569591219901	0.000000000000528022661004338	0.000000000197348469550371	0.000000000181612004719124	LOC_00000978/LOC_00003844/LOC_00004010/LOC_00004821/LOC_00005639/LOC_00006075/LOC_00006452/LOC_00006540/LOC_00007212/LOC_00007425/LOC_00007747/LOC_00008535/LOC_00008537/LOC_00008604/LOC_00010472/LOC_00010575/LOC_00011284/LOC_00011761/LOC_00012203/LOC_00012238/LOC_00012355/LOC_00014185/LOC_00015643/LOC_00016016/LOC_00016167/LOC_00016287/LOC_00016761/LOC_00016871/LOC_00017301/LOC_00017463/LOC_00017480/LOC_00017528/LOC_00017940/LOC_00017997/LOC_00018590/LOC_00018626/LOC_00020206/LOC_00020952/LOC_00021492/LOC_00024269/LOC_00024506/LOC_00024597/LOC_00024691/LOC_00025234/LOC_00025290/LOC_00025685/LOC_00025939/LOC_00026025	48	turquoise
GO:0006259	DNA metabolic process	162/3032	352/10468	0.460227272727273	1.58893769489086	7.17698921475918	0.00000000000405951084353411	0.00000000134865971357411	0.0000000012411182859647	LOC_00000314/LOC_00000454/LOC_00000628/LOC_00000821/LOC_00000929/LOC_00002528/LOC_00002769/LOC_00002778/LOC_00002791/LOC_00003126/LOC_00003143/LOC_00003199/LOC_00003548/LOC_00003570/LOC_00003649/LOC_00003650/LOC_00003652/LOC_00003657/LOC_00003744/LOC_00003790/LOC_00003879/LOC_00003890/LOC_00004244/LOC_00004764/LOC_00005077/LOC_00005323/LOC_00005431/LOC_00005588/LOC_00005756/LOC_00006198/LOC_00006455/LOC_00006575/LOC_00006718/LOC_00006837/LOC_00006864/LOC_00006915/LOC_00007119/LOC_00007234/LOC_00007523/LOC_00007587/LOC_00007619/LOC_00007642/LOC_00007741/LOC_00007786/LOC_00007913/LOC_00007952/LOC_00008153/LOC_00008340/LOC_00008388/LOC_00008426/LOC_00008565/LOC_00009008/LOC_00009484/LOC_00009652/LOC_00009661/LOC_00009801/LOC_00009814/LOC_00009855/LOC_00009910/LOC_00010056/LOC_00010355/LOC_00010454/LOC_00010506/LOC_00010591/LOC_00010707/LOC_00010783/LOC_00011077/LOC_00011091/LOC_00011147/LOC_00011286/LOC_00011465/LOC_00011475/LOC_00011698/LOC_00011754/LOC_00011950/LOC_00012003/LOC_00012272/LOC_00012289/LOC_00012290/LOC_00012335/LOC_00012480/LOC_00012772/LOC_00012801/LOC_00013174/LOC_00013730/LOC_00013878/LOC_00013885/LOC_00013897/LOC_00013941/LOC_00013994/LOC_00014111/LOC_00014250/LOC_00014263/LOC_00014432/LOC_00014555/LOC_00014811/LOC_00014900/LOC_00015149/LOC_00015426/LOC_00015593/LOC_00015754/LOC_00015755/LOC_00015853/LOC_00016069/LOC_00016161/LOC_00016167/LOC_00016270/LOC_00016286/LOC_00016608/LOC_00016609/LOC_00016800/LOC_00016859/LOC_00017307/LOC_00017418/LOC_00017730/LOC_00017765/LOC_00017881/LOC_00018637/LOC_00018958/LOC_00018977/LOC_00019066/LOC_00019295/LOC_00019337/LOC_00019880/LOC_00020097/LOC_00020207/LOC_00020221/LOC_00020225/LOC_00020241/LOC_00020342/LOC_00020347/LOC_00020368/LOC_00020406/LOC_00020525/LOC_00020578/LOC_00020679/LOC_00020793/LOC_00021205/LOC_00021523/LOC_00021548/LOC_00021719/LOC_00022509/LOC_00023599/LOC_00023637/LOC_00023665/LOC_00023873/LOC_00023883/LOC_00023929/LOC_00024323/LOC_00024360/LOC_00024382/LOC_00024481/LOC_00024634/LOC_00024748/LOC_00024773/LOC_00024861/LOC_00024953/LOC_00024957/LOC_00025370/LOC_00025461/LOC_00025829/LOC_00025891	162	turquoise
GO:0008033	tRNA processing	60/3032	97/10468	0.618556701030928	2.1355710904986	7.17457033815548	0.0000000000144461729188855	0.00000000431940570274677	0.00000000397497852736492	LOC_00000978/LOC_00003672/LOC_00003844/LOC_00004010/LOC_00004821/LOC_00005243/LOC_00005639/LOC_00006075/LOC_00006452/LOC_00006540/LOC_00007212/LOC_00007425/LOC_00007747/LOC_00008535/LOC_00008537/LOC_00008604/LOC_00010011/LOC_00010472/LOC_00010575/LOC_00010632/LOC_00011284/LOC_00011677/LOC_00011761/LOC_00011961/LOC_00012203/LOC_00012238/LOC_00012355/LOC_00013552/LOC_00014185/LOC_00014326/LOC_00015643/LOC_00016016/LOC_00016167/LOC_00016198/LOC_00016287/LOC_00016761/LOC_00016871/LOC_00017301/LOC_00017463/LOC_00017480/LOC_00017528/LOC_00017940/LOC_00017997/LOC_00018215/LOC_00018590/LOC_00018626/LOC_00020206/LOC_00020952/LOC_00021492/LOC_00024269/LOC_00024506/LOC_00024597/LOC_00024685/LOC_00024691/LOC_00025234/LOC_00025290/LOC_00025685/LOC_00025939/LOC_00025973/LOC_00026025	60	turquoise
GO:0090305	Nucleic acid phosphodiester bond hydrolysis	75/3032	132/10468	0.568181818181818	1.9616514751739	7.09960910069073	0.0000000000173405019061251	0.00000000471346369993763	0.00000000433761454379052	LOC_00000280/LOC_00000348/LOC_00002495/LOC_00002791/LOC_00002881/LOC_00003465/LOC_00003879/LOC_00004244/LOC_00004620/LOC_00004819/LOC_00004908/LOC_00005041/LOC_00005077/LOC_00005113/LOC_00005740/LOC_00006575/LOC_00006915/LOC_00007277/LOC_00007622/LOC_00008388/LOC_00008399/LOC_00008426/LOC_00009203/LOC_00009226/LOC_00009484/LOC_00009721/LOC_00010011/LOC_00010036/LOC_00010365/LOC_00010506/LOC_00010544/LOC_00011286/LOC_00011373/LOC_00011419/LOC_00011677/LOC_00011754/LOC_00011950/LOC_00011961/LOC_00012022/LOC_00012309/LOC_00012974/LOC_00013000/LOC_00013552/LOC_00013824/LOC_00013873/LOC_00013878/LOC_00014179/LOC_00014248/LOC_00014326/LOC_00014555/LOC_00015593/LOC_00015940/LOC_00016608/LOC_00016609/LOC_00016800/LOC_00017623/LOC_00017730/LOC_00018080/LOC_00018637/LOC_00018958/LOC_00020116/LOC_00021039/LOC_00021233/LOC_00022509/LOC_00022760/LOC_00023013/LOC_00023873/LOC_00024360/LOC_00024705/LOC_00024918/LOC_00025281/LOC_00025361/LOC_00025370/LOC_00025711/LOC_00025973	75	turquoise
GO:0006325	Chromatin organization	112/3032	227/10468	0.493392070484582	1.70343937791313	6.84186406979072	0.0000000000507763843204992	0.0000000117430825271834	0.0000000108066952036815	LOC_00000044/LOC_00000821/LOC_00000932/LOC_00002771/LOC_00003192/LOC_00003212/LOC_00003316/LOC_00003570/LOC_00003649/LOC_00003650/LOC_00003652/LOC_00003790/LOC_00003813/LOC_00004545/LOC_00004774/LOC_00004870/LOC_00005431/LOC_00005874/LOC_00006234/LOC_00006565/LOC_00006678/LOC_00006718/LOC_00006870/LOC_00007636/LOC_00007786/LOC_00008094/LOC_00008153/LOC_00008178/LOC_00008280/LOC_00008293/LOC_00008611/LOC_00009220/LOC_00009240/LOC_00009309/LOC_00009331/LOC_00009440/LOC_00009801/LOC_00010372/LOC_00010702/LOC_00010851/LOC_00010958/LOC_00011077/LOC_00011465/LOC_00011578/LOC_00011611/LOC_00012272/LOC_00012405/LOC_00012421/LOC_00012756/LOC_00012825/LOC_00012960/LOC_00013730/LOC_00013750/LOC_00013839/LOC_00013941/LOC_00014111/LOC_00014216/LOC_00015117/LOC_00015149/LOC_00015461/LOC_00015597/LOC_00015628/LOC_00015754/LOC_00015853/LOC_00015891/LOC_00016105/LOC_00016131/LOC_00016786/LOC_00016835/LOC_00017042/LOC_00017059/LOC_00017235/LOC_00017569/LOC_00017881/LOC_00017896/LOC_00018038/LOC_00018200/LOC_00018216/LOC_00018520/LOC_00018748/LOC_00018874/LOC_00019055/LOC_00019066/LOC_00019069/LOC_00019731/LOC_00019749/LOC_00019750/LOC_00020271/LOC_00020272/LOC_00020337/LOC_00020508/LOC_00020578/LOC_00020679/LOC_00021010/LOC_00021083/LOC_00021170/LOC_00021223/LOC_00021233/LOC_00021319/LOC_00021605/LOC_00022568/LOC_00022723/LOC_00023131/LOC_00023187/LOC_00023928/LOC_00024500/LOC_00024634/LOC_00024803/LOC_00024953/LOC_00025461/LOC_00025481/LOC_00025829	112	turquoise
GO:0051276	Chromosome organization	167/3032	375/10468	0.445333333333333	1.5375162708883	6.76866674805561	0.0000000000510568805529711	0.0000000117430825271834	0.0000000108066952036815	LOC_00000044/LOC_00000454/LOC_00000821/LOC_00000932/LOC_00002771/LOC_00003143/LOC_00003192/LOC_00003212/LOC_00003316/LOC_00003570/LOC_00003649/LOC_00003650/LOC_00003652/LOC_00003790/LOC_00003813/LOC_00004021/LOC_00004193/LOC_00004289/LOC_00004545/LOC_00004764/LOC_00004774/LOC_00004870/LOC_00005423/LOC_00005431/LOC_00005874/LOC_00006029/LOC_00006198/LOC_00006234/LOC_00006522/LOC_00006565/LOC_00006678/LOC_00006718/LOC_00006870/LOC_00006915/LOC_00006942/LOC_00007119/LOC_00007171/LOC_00007523/LOC_00007636/LOC_00007642/LOC_00007786/LOC_00008094/LOC_00008153/LOC_00008178/LOC_00008280/LOC_00008293/LOC_00008565/LOC_00008611/LOC_00009220/LOC_00009240/LOC_00009309/LOC_00009331/LOC_00009440/LOC_00009661/LOC_00009801/LOC_00010056/LOC_00010372/LOC_00010390/LOC_00010702/LOC_00010851/LOC_00010958/LOC_00011077/LOC_00011091/LOC_00011465/LOC_00011475/LOC_00011578/LOC_00011611/LOC_00011751/LOC_00011754/LOC_00011996/LOC_00012003/LOC_00012182/LOC_00012272/LOC_00012405/LOC_00012421/LOC_00012756/LOC_00012772/LOC_00012825/LOC_00012960/LOC_00013730/LOC_00013750/LOC_00013839/LOC_00013864/LOC_00013897/LOC_00013941/LOC_00013994/LOC_00014111/LOC_00014216/LOC_00014250/LOC_00014492/LOC_00014900/LOC_00015117/LOC_00015149/LOC_00015461/LOC_00015573/LOC_00015597/LOC_00015628/LOC_00015754/LOC_00015781/LOC_00015853/LOC_00015891/LOC_00016105/LOC_00016131/LOC_00016153/LOC_00016161/LOC_00016167/LOC_00016786/LOC_00016835/LOC_00017042/LOC_00017059/LOC_00017235/LOC_00017418/LOC_00017569/LOC_00017765/LOC_00017881/LOC_00017896/LOC_00017934/LOC_00018038/LOC_00018200/LOC_00018216/LOC_00018520/LOC_00018748/LOC_00018874/LOC_00019055/LOC_00019066/LOC_00019069/LOC_00019731/LOC_00019749/LOC_00019750/LOC_00019800/LOC_00020207/LOC_00020221/LOC_00020271/LOC_00020272/LOC_00020337/LOC_00020342/LOC_00020508/LOC_00020578/LOC_00020679/LOC_00021010/LOC_00021028/LOC_00021083/LOC_00021170/LOC_00021223/LOC_00021233/LOC_00021319/LOC_00021548/LOC_00021605/LOC_00021666/LOC_00022509/LOC_00022568/LOC_00022723/LOC_00023131/LOC_00023187/LOC_00023665/LOC_00023928/LOC_00024382/LOC_00024500/LOC_00024634/LOC_00024748/LOC_00024803/LOC_00024861/LOC_00024953/LOC_00025461/LOC_00025481/LOC_00025829/LOC_00025891	167	turquoise
